Acton;21,924;Town Meeting adopted 4/6/10;1/1/2011
Amherst;37,819;Town Meeting adopted 5/23/11;1/1/2012
Andover;33,201;Town Meeting adopted 4/28/10;1/1/2011
Arlington;42,844;Town Meeting adopted 4/28/10;7/1/2011
Ashfield;1,737;Town Meeting adopted 9/29/11;7/1/2012
Ashland;16,593;Town Meeting adopted 5/1/12;1/1/2013
Athol;11,584;Town Meeting adopted 4/12/10;1/1/2011
Auburn;16,188;Town Meeting adopted 5/1/12;1/1/2013
Ayer;7,427;Town Meeting adopted 5/9/11;1/1/2012
Barre;5,398;Town Meeting adopted 6/20/11;1/1/2012
Becket;1,779;Town Meeting adopted 5/8/10;1/1/2011
Bedford;13,320;Town Meeting adopted 3/28/11;1/1/2012
Belchertown;14,649;Town Meeting adopted 5/10/10;1/1/2011
Belmont;24,729;Town Meeting adopted 5/11/11;1/1/2012
Berlin;2,866;Town Meeting adopted 5/3/11;1/1/2012
Beverly;39,502;City Council adopted 5/2/11;1/1/2012
Boston;617,594;City Council adopted 11/17/10;7/1/2011
Bridgewater;26,563;Town Meeting adopted 9/6/2011;7/1/2012
Brookline;58,732;Town Meeting adopted 5/25/10;1/1/2011
Buckland;1,902;Town Meeting adopted 5/4/11;1/1/2012
Cambridge;105,162;City Council adopted 12/21/09;7/1/2010
Carlisle;4,852;Town Meeting adopted 5/10/10;1/1/2011
Chelmsford;33,802;Town Meeting adopted 4/29/10;1/1/2011
Chesterfield;1,222;Town Meeting adopted 6/15/11;1/1/2012
Concord;17,668;Town Meeting adopted 4/29/10;1/1/2011
Conway;1,897;Town Meeting adopted 10/17/10;7/1/2012
Dedham;24,729;Town Meeting adopted 5/17/10;1/1/2011
Deerfield;5,125;Town Meeting adopted 4/25/11;1/1/2012
Dudley;11,390;Town Meeting adopted 11/7/2011;7/1/2012
Easthampton;16,053;City Council adopted 5/05/10;1/1/2011
Easton;23,112;Town Meeting adopted 5/17/10;1/1/2011
Gardner;20,228;City Council adopted 10/4/10;7/1/2011
Gill;1,500;Town Meeting adopted 06/21/10;1/1/2011
Gloucester;28,789;City Council adopted 8/3/10;7/1/2011
Granby;6,240;Town Meeting adopted 5/9/11;1/1/2012
Great Barrington;7,104;Town Meeting adopted 5/3/11;1/1/2012
Greenfield;17,456;City Council adopted 3/17/10;1/1/2011
Hamilton;7,764;Town Meeting adopted 5/8/10;1/1/2011
Hanover;13,879;Town Meeting adopted 5/3/10;1/1/2011
Hanson;10,209;Town Meeting adopted 10/3/10;7/1/2011
Harvard;6,520;Town Meeting adopted 11/9/10;1/1/2012
Hatfield;3,279;Town Meeting adopted 5/11/10;1/1/2011
Holland;2,481;Town Meeting adopted 4/19/11;1/1/2012
Holyoke;39,880;City Council adopted 4/15/10;1/1/2011
Hopkinton;14,925;Town Meeting adopted 5/4/10;1/1/2011
Huntington;2,180;Town Meeting adopted 5/9/12;1/1/2013
Kingston;12,629;Town Meeting adopted 4/5/10;1/1/2011
Lakeville;10,602;Town Meeting adopted 6/13/11;1/1/2012
Lancaster;8,055;Town Meeting adopted 5/3/10;1/1/2011
Lenox;5,025;Town Meeting adopted 5/6/10;1/1/2011
Leominster;40,759;City Council adopted 3/26/2012;1/1/2013
Leverett;1,851;Town Meeting adopted 4/24/10;1/1/2011
Lexington;31,394;Town Meeting adopted 3/31/10;1/1/2011
Lincoln;6,362;Town Meeting adopted 3/27/10;1/1/2011
Lowell;106,519;City Council adopted 3/20/10;1/1/2011
Marlborough;38,499;City Council adopted 11/8/10;1/1/2012
Mashpee;14,006;Board of Selectment adopted 1/25/10;1/1/2011
Maynard;10,106;Town Meeting adopted 10/26/2011;7/1/2012
Medford;56,173;City Council adopted 5/4/10;1/1/2011
Medway;12,752;Town Meeting adopted 11/15/10;7/1/2011
Melrose;26,983;City Council adopted 5/10/10;1/1/2011
Mendon;5,839;Town Meeting adopted 6/6/2011;1/1/2012
Middlefield;521;Town Meeting adopted 5/7/11;1/1/2012
Millbury;13,261;Town Meeting adopted 6/7/11;1/1/2012
Millville;3,190;Town Meeting adopted 5/14/12;1/1/2013
Milton;27,003;Town Meeting adopted 9/20/10;7/1/2011
Monson;8,560;Town Meeting adopted 5/9/11;1/1/2012
Montague;8,437;Town Meeting adopted 4/1/10;1/1/2011
Natick;33,006;Town Meeting adopted 4/29/10;1/1/2011
New Salem;990;Town Meeting adopted 11/8/10;7/1/2011
Newburyport;17,416;City Council adopted 11/8/10;7/1/2011
Newton;85,146;Board of Aldermen adopted 11/9/09;7/1/2010
North Adams;13,708;City Council adopted 10/26/10;7/1/2011
Northampton;28,549;City Council adopted 4/15/10;1/1/2011
Northfield;3,032;Town Meeting adopted 5/7/12;7/1/2013
Palmer;12,140;Town Council adopted 5/10/10;1/1/2011
Pelham;1,321;Town Meeting adopted 5/5/12;1/1/2013
Pembroke;17,837;Town Meeting adopted 10/19/10;7/1/2011
Petersham;1,234;Town Meeting adopted 6/4/12;1/1/2013
Pittsfield;44,737;City Council adopted 4/14/10;7/1/2011
Plympton;56,468;Town Meeting adopted 5/16/12;1/1/2013
Provincetown;2,942;Town Meeting adopted 10/24/2011;7/1/2012
Quincy;92,271;City Council adopted 8/16/10;7/1/2011
Revere;51,755;City Council adopted 3/14/11;1/1/2012
Richmond;1,475;Town Meeting adopted 5/23/12;1/1/2013
Rockland;17,489;Town Meeting adopted 5/7/12;1/1/2013
Rowe;393;Town Meeting adopted 11/16/10;7/1/2011
Salem;41,340;City Council adopted 5/13/10;1/1/2011
Scituate;18,133;Town Meeting adopted 11/8/10;7/1/2011
Sherborn;4,119;Town Meeting adopted 4/28/11;1/1/2012
Shirley;7,211;Town Meeting adopted 11/7/11;7/1/2012
Shutesbury;1,771;Town Meeting adopted 10/26/10;7/1/2011
Somerville;75,754;Board of Aldermen adopted 6/9/11;1/1/2012
Springfield;153,060;City Council adopted 3/01/10;1/1/2011
Stockbridge;1,947;Town Meeting adopted 5/16/11;1/1/2012
Sudbury;17,659;Town Meeting adopted 4/6/10;1/1/2011
Sunderland;3,684;Town Meeting adopted 4/27/12;1/1/2013
Sutton;8,963;Town Meeting adopted 5/9/11;1/1/2012
Swampscott;13,787;Town Meeting adopted 5/3/10;1/1/2011
Tewksbury;28,961;Town Meeting adopted 5/4/11;1/1/2012
Tisbury;3,949;Town Meeting adopted 4/12/11;1/1/2012
Topsfield;6,085;Town Meeting adopted 5/3/11;1/1/2012
Townsend;8,926;Town Meeting adopted 11/15/11;7/1/2012
Truro;2,003;Town Meeting adopted 4/26/11;1/1/2012
Tyngsborough;11,292;Town Meeting adopted 3/02/10;1/1/2011
Waltham;60,632;City Council adopted 11/3/2011;7/1/2012
Watertown;31,915;Town council adopted 11/9/10;7/1/2011
Wayland;12,994;Town Meeting adopted 11/16/10;7/1/2011
Wellesley;27,982;Town Meeting adopted 4/11/11;1/1/2012
Wendell;848;Town Meeting adopted 10/18/12;1/1/2014
Wenham;4,875;Town Meeting adopted 5/1/10;1/1/2011
West Tisbury;2,740;Town Meeting adopted 4/12/12;1/1/2013
Westminster;7,277;Town Meeting adopted 11/15/11;7/1/2012
Weston;11,261;Town Meeting adopted 5/9/11;1/1/2012
Westwood;14,618;Town Meeting adopted 5/7/12;1/1/2013
Whately;1,496;Town Meeting adopted 4/24/12;1/1/2013
Williamsburg;2,482;Town Meeting adopted 6/6/11;1/1/2012
Williamstown;7,754;Town Meeting adopted 5/18/10;1/1/2011
Winchester;21,374;Town Meeting adopted 11/18/10;7/1/2011
Winthrop;17,497;Town Council adopted 5/15/12;1/1/2013
Woburn;38,120;City Council adopted 3/15/11;1/1/2012
Worcester;181,045;City Council adopted May 4,10;7/1/2011
